Dom,Name,Address,Virt/Phy,OSDistro,Role,Department,Loc,Service,Environ,Clus,Contact
mars,rixsuper99,11.765.210.432,VIRT,Ubuntu,EXX,Ops,NOR,DISNEY,PROD,0,droid@mail.com
coffee,picard11,11.654.678.321,PHY,Fedora,APP,Ops,LA,SPOTIFY,PREPROD,0,earlgtea@mail.com
mars,janewayprime,11.123.432.765,VIRT,CentOS,DB,Ops,SPARTA,ZILLOW,TEST,1,voyager@mail.com
coffee,sisko09,11.543.765.210,VIRT,ORACLELINUX,WEB,Ops,NOR,HBO,PROD,1,prophets@mail.com
mars,archer22,11.765.432.123,PHY,RedHat,APP,Ops,WAS,APPLE,DIS,0,beagle@mail.com
kitkat,scottybeam,11.987.654.321,VIRT,Ubuntu,EXX,Ops,NYC,NETFLIX,DEV,1,engineer@mail.com
mars,sauron01,11.123.555.789,PHY,Fedora,WEB,Evil,MORDOR,DISNEY,PROD,0,ringlord@mail.com
coffee,frodo22,11.888.999.000,VIRT,Ubuntu,APP,Hobbit,SHIRE,APPLE,TEST,1,precious@mail.com
mars,aragorn40,11.444.333.666,PHY,RedHat,DB,Ranger,NYC,HULU,DIS,1,strider@mail.com
kitkat,gollum99,11.111.222.333,VIRT,CentOS,WEB,Hobbit,MORDOR,KEY,DEV,1,twotowers@mail.com
coffee,legolas55,11.333.444.555,PHY,Ubuntu,APP,Elf,RIVENDELL,ZILLOW,PROD,1,bowmaster@mail.com
mars,gimli88,11.666.555.444,VIRT,Fedora,EXX,Dwarf,MINES,META,TEST,0,beard@mail.com
mars,thorin35,11.888.111.444,PHY,Debian,DB,Dwarf,MOUNTAIN,DISNEY,DEV,1,kingunderhill@mail.com
mars,bilbo25,11.222.333.555,VIRT,ORACLELINUX,WEB,Hobbit,SHIRE,SPOTIFY,PREPROD,1,adventure@mail.com
mars,samwise44,11.123.444.555,PHY,CentOS,APP,Hobbit,SHIRE,UBER,TEST,0,loyal@mail.com
kitkat,galadrielx,11.666.222.999,VIRT,RedHat,APP,Elf,RIVENDELL,NETFLIX,PROD,1,starlight@mail.com
coffee,blackmoon01,192.168.54.23,PHY,Ubuntu,APP,Viking,NYC,DISNEY,DEV,1,engineer@mail.com
coffee,blackmoon02,192.168.54.24,PHY,Ubuntu,APP,Viking,NYC,DISNEY,DEV,1,engineer@mail.com
mars,redshadow01,10.0.123.67,VIRT,Fedora,WEB,Dwarf,LA,NETFLIX,PROD,0,tvsupport@mail.com
mars,redshadow02,10.0.123.68,VIRT,Fedora,WEB,Dwarf,LA,NETFLIX,PROD,0,tvsupport@mail.com
kitkat,goldenwolf01,172.16.99.45,VIRT,CentOS,DB,Hobbit,RIVENDELL,APPLE,TEST,1,lordknows@mail.com
kitkat,goldenwolf02,172.16.99.46,VIRT,CentOS,DB,Hobbit,RIVENDELL,APPLE,TEST,1,lordknows@mail.com
coffee,shadowhunter01,203.0.113.101,PHY,Debian,EXX,Jedi,NOR,HULU,DIS,0,liberals@mail.com
coffee,shadowhunter02,203.0.113.102,PHY,Debian,EXX,Jedi,NOR,HULU,DIS,0,liberals@mail.com
mars,silverphoenix01,198.51.100.55,VIRT,RedHat,APP,Elf,SPARTA,ZILLOW,DEV,1,democracy@mail.com
mars,silverphoenix02,198.51.100.56,VIRT,RedHat,APP,Elf,SPARTA,ZILLOW,DEV,1,democracy@mail.com
kitkat,brightstorm01,172.16.0.22,PHY,Ubuntu,WEB,Sith,NYC,SPOTIFY,PROD,0,starwars@mail.com
kitkat,brightstorm02,172.16.0.23,PHY,Ubuntu,WEB,Sith,NYC,SPOTIFY,PROD,0,starwars@mail.com
mars,silentblade01,203.0.113.78,VIRT,CentOS,DB,Shield,WAS,META,PREPROD,0,galadriel@mail.com
mars,silentblade02,203.0.113.79,VIRT,CentOS,DB,Shield,WAS,META,PREPROD,0,galadriel@mail.com
coffee,shadowraven01,192.0.2.35,PHY,RedHat,EXX,Dwarf,LA,DISNEY,DEV,1,ironman@mail.com
coffee,shadowraven02,192.0.2.36,PHY,RedHat,EXX,Dwarf,LA,DISNEY,DEV,1,ironman@mail.com
kitkat,crimsonwing01,10.10.54.98,VIRT,Fedora,WEB,Hobbit,MORDOR,KEY,TEST,1,gunsnroses@mail.com
kitkat,crimsonwing02,10.10.54.99,VIRT,Fedora,WEB,Hobbit,MORDOR,KEY,TEST,1,gunsnroses@mail.com
mars,goldenflame01,192.168.0.5,PHY,Debian,APP,Viking,SHIRE,HBO,PROD,0,thor@asgardmail.com
mars,goldenflame02,192.168.0.6,PHY,Debian,APP,Viking,SHIRE,HBO,PROD,0,thor@asgardmail.com
coffee,silverstorm01,203.0.113.156,VIRT,Ubuntu,WEB,Elf,RIVENDELL,NETFLIX,DEV,1,300@mail.com
coffee,silverstorm02,203.0.113.157,VIRT,Ubuntu,WEB,Elf,RIVENDELL,NETFLIX,DEV,1,300@mail.com
kitkat,redmoon01,192.0.2.13,PHY,Fedora,DB,Sith,LA,APPLE,PREPROD,0,eyeofthetiger@mail.com
kitkat,redmoon02,192.0.2.14,PHY,Fedora,DB,Sith,LA,APPLE,PREPROD,0,eyeofthetiger@mail.com
mars,brightwing01,198.51.100.34,VIRT,RedHat,EXX,Shield,NOR,SPOTIFY,DIS,1,shieldmaiden@mail.com
mars,brightwing02,198.51.100.35,VIRT,RedHat,EXX,Shield,NOR,SPOTIFY,DIS,1,shieldmaiden@mail.com
coffee,darkflame01,10.0.1.99,VIRT,CentOS,APP,Hobbit,SPARTA,HULU,DEV,0,kingragnar@mail.com
coffee,darkflame02,10.0.1.100,VIRT,CentOS,APP,Hobbit,SPARTA,HULU,DEV,0,kingragnar@mail.com
kitkat,silverwing01,172.16.1.23,PHY,Debian,WEB,Viking,NYC,ZILLOW,PROD,1,apollo@mail.com
kitkat,silverwing02,172.16.1.24,PHY,Debian,WEB,Viking,NYC,ZILLOW,PROD,1,apollo@mail.com
mars,darkphoenix01,198.18.7.45,VIRT,Ubuntu,DB,Elf,RIVENDELL,DISNEY,TEST,0,mandalorian@mail.com
mars,darkphoenix02,198.18.7.46,VIRT,Ubuntu,DB,Elf,RIVENDELL,DISNEY,TEST,0,mandalorian@mail.com
coffee,brightsky01,203.0.113.22,PHY,RedHat,EXX,Sith,LA,NETFLIX,DEV,1,bountyhunter@mail.com
coffee,brightsky02,203.0.113.23,PHY,RedHat,EXX,Sith,LA,NETFLIX,DEV,1,bountyhunter@mail.com
kitkat,shadowwolf01,10.1.99.100,VIRT,Fedora,APP,Shield,NYC,SPOTIFY,PROD,0,wookiee@mail.com
kitkat,shadowwolf02,10.1.99.101,VIRT,Fedora,APP,Shield,NYC,SPOTIFY,PROD,0,wookiee@mail.com
mars,darkraven01,192.0.2.123,PHY,Ubuntu,DB,Dwarf,NOR,APPLE,PREPROD,1,blasterking@mail.com
mars,darkraven02,192.0.2.124,PHY,Ubuntu,DB,Dwarf,NOR,APPLE,PREPROD,1,blasterking@mail.com
coffee,crimsonstorm01,198.51.100.89,VIRT,CentOS,WEB,Jedi,SHIRE,HBO,TEST,0,theforce@mail.com
coffee,crimsonstorm02,198.51.100.90,VIRT,CentOS,WEB,Jedi,SHIRE,HBO,TEST,0,theforce@mail.comkitkat,spartacus01,11.321.138.60,VIRT,ORACLELINUX,APP,Black,NYC,SPOTIFY,PREPROD,0,tvsupport@mail.com
kitkat,spartacus02,11.321.138.61,VIRT,ORACLELINUX,APP,Black,NYC,SPOTIFY,PREPROD,0,tvsupport@mail.com
coffee,gannicus01,11.334.87.92,VIRT,RedHat,APP,Ops,LA,KEY,PROD,0,lordknows@mail.com
coffee,gannicus02,11.334.87.93,VIRT,RedHat,APP,Ops,LA,KEY,PROD,0,lordknows@mail.com
mars,crixus02,11.453.453.98,PHY,RedHat,DB,Black,WAS,OFANS,DIS,0,liberals@mail.com
mars,naevia02,11.322.343.212,VIRT,RedHat,APP,Ops,NYC,NETFLIX,PROD,0,democracy@mail.com
kitkat,varro01,11.276.54.54,VIRT,RedHat,APP,Ops,NYC,CHEF,PROD,0,starwars@mail.com
mars,varro02,11.276.54.55,VIRT,RedHat,APP,Ops,NYC,CHEF,PROD,0,starwars@mail.com
kitkat,crassus02,11.832.222.102,VIRT,RedHat,APP,Black,LA,ZILLOW,TEST,0,tvsupport@mail.com
coffee,capua02,11.545.54.7,VIRT,RedHat,APP,Black,LA,UBER,DIS,0,galadriel@mail.com
mars,rome01,11.767.156.60,PHY,ORACLELINUX,EXX,Ops,TX,META,DIS,0,ironman@mail.com
mars,daxos02,11.889.67.152,VIRT,RedHat,WEB,Ops,NYC,APPLE,PROD,0,gunsnroses@mail.com
kitkat,odinserv01,11.555.777.889,VIRT,Ubuntu,WEB,Viking,NOR,DISNEY,DEV,1,thor@asgardmail.com
mars,leonidas02,11.999.999.100,PHY,CentOS,DB,Ops,SPARTA,AMAZON,PROD,1,300@mail.com
coffee,rocky01,11.123.456.790,VIRT,RedHat,EXX,Fight,PHI,HBO,DIS,0,eyeofthetiger@mail.com
mars,lagertha01,11.444.333.223,VIRT,Fedora,APP,Shield,NOR,HULU,TEST,1,shieldmaiden@mail.com
kitkat,ragnar02,11.567.890.124,PHY,Ubuntu,DB,Viking,NOR,NETFLIX,PROD,1,kingragnar@mail.com
mars,apollo02,11.112.113.115,VIRT,ORACLELINUX,EXX,Ops,GREECE,DISNEY,DEV,0,apollo@mail.com
coffee,boba02,11.223.334.446,PHY,Fedora,APP,StarWars,NYC,SPOTIFY,PREPROD,0,mandalorian@mail.com
mars,jango02,11.445.556.668,VIRT,CentOS,DB,StarWars,TX,ZILLOW,TEST,1,bountyhunter@mail.com
kitkat,chewbacca02,11.778.889.991,VIRT,Debian,WEB,Rebel,LA,KEY,DEV,0,wookiee@mail.com
mars,hansolo02,11.222.111.001,PHY,Ubuntu,EXX,Rebel,WAS,APPLE,DIS,0,blasterking@mail.com
coffee,lukesky02,11.333.444.556,VIRT,Fedora,DB,Jedi,NYC,META,PROD,1,theforce@mail.com
kitkat,vaderserv02,11.666.777.889,PHY,RedHat,APP,Sith,LA,UBER,PREPROD,0,darkside@mail.com
mars,obiwan02,11.123.789.457,VIRT,Ubuntu,WEB,Jedi,NOR,CHEF,TEST,1,kenobi@mail.com
coffee,palpatine02,11.888.666.556,VIRT,Fedora,EXX,Sith,SPARTA,DISNEY,DEV,1,darkempire@mail.com
kitkat,kylo02,11.999.123.988,PHY,Debian,APP,Sith,LA,NETFLIX,PROD,0,lighstaber@mail.com
mars,yodahub02,11.321.654.988,VIRT,CentOS,WEB,Jedi,TX,HBO,TEST,1,masteryoda@mail.com
coffee,spock02,11.123.987.655,VIRT,ORACLELINUX,APP,StarTrek,LA,HULU,PROD,0,vulcan@mail.com
mars,kirk02,11.654.321.988,PHY,Fedora,DB,StarTrek,NYC,ZILLOW,DEV,1,enterprise@mail.com


